,time,application,angry,disgust,fear,happy,sad,surprise
250,2022_11_19_15_57_56,Microsoft Edge,0.05,0.0,0.11,0.27,0.49,0.08
251,2022_11_19_15_57_56,Microsoft Edge,0.08,0.0,0.17,0.04,0.71,0.0
252,2022_11_19_15_57_56,Microsoft Edge,0.11,0.0,0.21,0.0,0.63,0.05
253,2022_11_19_15_57_57,Microsoft Edge,0.06,0.0,0.22,0.06,0.67,0.0
254,2022_11_19_15_57_57,Microsoft Edge,0.1,0.0,0.15,0.0,0.65,0.1
255,2022_11_19_15_57_57,Microsoft Edge,0.23,0.0,0.23,0.09,0.36,0.09
256,2022_11_19_15_57_57,Microsoft Edge,0.12,0.0,0.18,0.12,0.47,0.12
257,2022_11_19_15_57_58,Microsoft Edge,0.15,0.0,0.15,0.05,0.55,0.1
258,2022_11_19_15_57_58,Microsoft Edge,0.17,0.0,0.17,0.17,0.42,0.08
259,2022_11_19_15_57_58,Microsoft Edge,0.07,0.0,0.14,0.0,0.71,0.07
260,2022_11_19_15_57_58,Microsoft Edge,0.12,0.0,0.16,0.02,0.65,0.05
261,2022_11_19_15_57_59,Microsoft Edge,0.13,0.0,0.22,0.04,0.56,0.04
262,2022_11_19_15_57_59,Microsoft Edge,0.1,0.0,0.17,0.0,0.69,0.03
263,2022_11_19_15_57_59,Microsoft Edge,0.09,0.0,0.17,0.09,0.61,0.04
264,2022_11_19_15_58_00,Microsoft Edge,0.07,0.0,0.12,0.02,0.79,0.0
265,2022_11_19_15_58_00,Microsoft Edge,0.07,0.0,0.11,0.04,0.78,0.0
266,2022_11_19_15_58_00,Microsoft Edge,0.07,0.0,0.2,0.02,0.68,0.02
267,2022_11_19_15_58_00,Microsoft Edge,0.06,0.0,0.13,0.02,0.79,0.0
268,2022_11_19_15_58_01,Microsoft Edge,0.07,0.02,0.07,0.02,0.82,0.0
269,2022_11_19_15_58_01,Microsoft Edge,0.09,0.02,0.11,0.03,0.75,0.0
270,2022_11_19_15_58_01,Microsoft Edge,0.09,0.0,0.09,0.02,0.8,0.0
271,2022_11_19_15_58_01,Microsoft Edge,0.06,0.0,0.09,0.0,0.85,0.0
272,2022_11_19_15_58_02,Microsoft Edge,0.08,0.0,0.13,0.02,0.75,0.02
273,2022_11_19_15_58_02,Microsoft Edge,0.08,0.0,0.1,0.05,0.74,0.03
274,2022_11_19_15_58_02,Microsoft Edge,0.07,0.0,0.15,0.02,0.76,0.0
275,2022_11_19_15_58_03,Microsoft Edge,0.11,0.0,0.11,0.05,0.74,0.0
276,2022_11_19_15_58_03,Microsoft Edge,0.11,0.0,0.15,0.07,0.63,0.04
277,2022_11_19_15_58_03,Microsoft Edge,0.03,0.0,0.11,0.03,0.84,0.0
278,2022_11_19_15_58_03,Microsoft Edge,0.11,0.0,0.16,0.11,0.42,0.21
279,2022_11_19_15_58_04,Microsoft Edge,0.17,0.0,0.25,0.08,0.42,0.08
280,2022_11_19_15_58_04,Microsoft Edge,0.18,0.0,0.14,0.05,0.59,0.05
281,2022_11_19_15_58_04,Microsoft Edge,0.06,0.0,0.16,0.16,0.61,0.0
282,2022_11_19_15_58_04,Microsoft Edge,0.11,0.0,0.26,0.05,0.53,0.05
283,2022_11_19_15_58_05,Microsoft Edge,0.08,0.0,0.08,0.0,0.84,0.0
284,2022_11_19_15_58_05,Microsoft Edge,0.01,0.0,0.09,0.0,0.9,0.0
285,2022_11_19_15_58_05,Microsoft Edge,0.03,0.0,0.07,0.0,0.89,0.0
286,2022_11_19_15_58_06,Microsoft Edge,0.01,0.0,0.06,0.0,0.93,0.0
287,2022_11_19_15_58_06,Microsoft Edge,0.02,0.0,0.07,0.0,0.9,0.0
288,2022_11_19_15_58_06,Microsoft Edge,0.03,0.0,0.13,0.0,0.84,0.0
289,2022_11_19_15_58_06,Microsoft Edge,0.03,0.0,0.13,0.0,0.84,0.0
290,2022_11_19_15_58_07,Microsoft Edge,0.05,0.0,0.07,0.0,0.88,0.0
