2022-11-19 12:28:56,765 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:56] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:56,767 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:56,769 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:56,769 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:56,770 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:56] "POST /isangry HTTP/1.1" 200 -
2022-11-19 12:28:57,271 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:57] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:57,272 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:57,273 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:57,274 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:57,274 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:57] "POST /isangry HTTP/1.1" 200 -
