,time,application,angry,disgust,fear,happy,sad,surprise
786,2022_07_24_17_59_19,Stocks,0.61,0.38,0.0,0.0,0.01,0.0
787,2022_07_24_17_59_19,Stocks,0.8,0.19,0.0,0.0,0.01,0.0
788,2022_07_24_17_59_20,Stocks,0.64,0.34,0.0,0.0,0.02,0.0
789,2022_07_24_17_59_20,Stocks,0.84,0.13,0.0,0.0,0.03,0.0
790,2022_07_24_17_59_20,Stocks,0.91,0.07,0.0,0.0,0.02,0.0
791,2022_07_24_17_59_20,Stocks,0.72,0.24,0.01,0.0,0.03,0.0
792,2022_07_24_17_59_21,Stocks,0.56,0.37,0.01,0.0,0.05,0.0
793,2022_07_24_17_59_21,Stocks,0.65,0.32,0.01,0.0,0.02,0.0
794,2022_07_24_17_59_21,Stocks,0.64,0.32,0.01,0.0,0.03,0.0
795,2022_07_24_17_59_22,Stocks,0.61,0.13,0.04,0.0,0.2,0.02
796,2022_07_24_17_59_22,Stocks,0.63,0.07,0.07,0.02,0.19,0.03
797,2022_07_24_17_59_22,Stocks,0.48,0.07,0.03,0.0,0.4,0.02
798,2022_07_24_17_59_23,Stocks,0.76,0.01,0.08,0.0,0.11,0.04
799,2022_07_24_17_59_23,Stocks,0.62,0.05,0.07,0.02,0.22,0.02
800,2022_07_24_17_59_23,Stocks,0.27,0.0,0.15,0.0,0.48,0.1
801,2022_07_24_17_59_23,Stocks,0.12,0.0,0.33,0.0,0.5,0.06
802,2022_07_24_17_59_24,Stocks,0.21,0.0,0.27,0.0,0.15,0.36
803,2022_07_24_17_59_24,Stocks,0.19,0.0,0.19,0.05,0.1,0.48
804,2022_07_24_17_59_24,Stocks,0.19,0.0,0.42,0.02,0.09,0.28
805,2022_07_24_17_59_25,Stocks,0.2,0.0,0.41,0.0,0.07,0.32
806,2022_07_24_17_59_25,Stocks,0.23,0.0,0.32,0.0,0.34,0.11
807,2022_07_24_17_59_25,Stocks,0.28,0.01,0.18,0.0,0.5,0.01
808,2022_07_24_17_59_26,Stocks,0.23,0.0,0.17,0.02,0.56,0.02
809,2022_07_24_17_59_27,Stocks,0.33,0.01,0.11,0.01,0.51,0.03
810,2022_07_24_17_59_27,Stocks,0.55,0.0,0.1,0.0,0.25,0.1
811,2022_07_24_17_59_27,Stocks,0.15,0.0,0.09,0.0,0.76,0.0
812,2022_07_24_17_59_28,Stocks,0.39,0.0,0.08,0.03,0.5,0.0
813,2022_07_24_17_59_28,Stocks,0.51,0.02,0.06,0.04,0.34,0.02
814,2022_07_24_17_59_28,Stocks,0.41,0.0,0.1,0.03,0.45,0.0
815,2022_07_24_17_59_29,Stocks,0.47,0.03,0.12,0.0,0.33,0.05
816,2022_07_24_17_59_29,Stocks,0.54,0.01,0.1,0.0,0.32,0.03
817,2022_07_24_17_59_29,Stocks,0.56,0.02,0.11,0.02,0.25,0.04
818,2022_07_24_17_59_30,Stocks,0.57,0.0,0.13,0.02,0.21,0.06
819,2022_07_24_17_59_30,Stocks,0.51,0.0,0.17,0.0,0.26,0.06
820,2022_07_24_17_59_30,Stocks,0.53,0.0,0.2,0.0,0.22,0.04
